2026-01-01 17:45:41.003 [INFO] SkipList Multi-threaded Stress Test V1
2026-01-01 17:45:41.003 [INFO] ====================================
2026-01-01 17:45:41.003 [INFO] Keys to insert: 100000000
2026-01-01 17:45:41.003 [INFO] Threads: 12
2026-01-01 17:45:41.003 [INFO] Key size: 16 bytes
2026-01-01 17:45:41.003 [INFO] Value size: 100 bytes
2026-01-01 17:45:41.003 [INFO] 
2026-01-01 17:45:41.003 [INFO] Inserting keys...
2026-01-01 17:49:49.044 [INFO]   36M keys, 144K ops/sec, memory: 6341 MB
2026-01-01 17:49:50.044 [INFO]   36M keys, 143K ops/sec, memory: 6367 MB
2026-01-01 17:49:51.044 [INFO]   36M keys, 144K ops/sec, memory: 6392 MB
2026-01-01 17:49:52.044 [INFO]   36M keys, 144K ops/sec, memory: 6418 MB
2026-01-01 17:49:53.044 [INFO]   36M keys, 142K ops/sec, memory: 6443 MB
2026-01-01 17:49:54.044 [INFO]   36M keys, 142K ops/sec, memory: 6469 MB
2026-01-01 17:49:55.045 [INFO]   36M keys, 144K ops/sec, memory: 6494 MB
2026-01-01 17:49:56.045 [INFO]   37M keys, 145K ops/sec, memory: 6520 MB
2026-01-01 17:49:57.045 [INFO]   37M keys, 141K ops/sec, memory: 6545 MB
2026-01-01 17:49:58.045 [INFO]   37M keys, 141K ops/sec, memory: 6570 MB
2026-01-01 17:49:59.045 [INFO]   37M keys, 140K ops/sec, memory: 6595 MB
2026-01-01 17:50:00.045 [INFO]   37M keys, 140K ops/sec, memory: 6620 MB
2026-01-01 17:50:01.045 [INFO]   37M keys, 139K ops/sec, memory: 6645 MB
2026-01-01 17:50:02.046 [INFO]   37M keys, 139K ops/sec, memory: 6670 MB
2026-01-01 17:50:03.046 [INFO]   38M keys, 141K ops/sec, memory: 6695 MB
2026-01-01 17:50:04.046 [INFO]   38M keys, 140K ops/sec, memory: 6720 MB
2026-01-01 17:50:05.046 [INFO]   38M keys, 141K ops/sec, memory: 6745 MB
2026-01-01 17:50:06.046 [INFO]   38M keys, 140K ops/sec, memory: 6770 MB
2026-01-01 17:50:07.046 [INFO]   38M keys, 140K ops/sec, memory: 6795 MB
2026-01-01 17:50:08.046 [INFO]   38M keys, 140K ops/sec, memory: 6820 MB
2026-01-01 17:50:09.047 [INFO]   38M keys, 141K ops/sec, memory: 6845 MB
2026-01-01 17:50:10.047 [INFO]   39M keys, 139K ops/sec, memory: 6870 MB
2026-01-01 17:50:11.047 [INFO]   39M keys, 141K ops/sec, memory: 6895 MB
2026-01-01 17:50:12.047 [INFO]   39M keys, 141K ops/sec, memory: 6920 MB
2026-01-01 17:50:13.047 [INFO]   39M keys, 141K ops/sec, memory: 6945 MB
2026-01-01 17:50:14.047 [INFO]   39M keys, 140K ops/sec, memory: 6970 MB
2026-01-01 17:50:15.047 [INFO]   39M keys, 141K ops/sec, memory: 6995 MB
2026-01-01 17:50:16.048 [INFO]   39M keys, 141K ops/sec, memory: 7020 MB
2026-01-01 17:50:17.048 [INFO]   40M keys, 142K ops/sec, memory: 7046 MB
2026-01-01 17:50:18.048 [INFO]   40M keys, 142K ops/sec, memory: 7071 MB
2026-01-01 17:50:19.048 [INFO]   40M keys, 144K ops/sec, memory: 7097 MB
2026-01-01 17:50:20.048 [INFO]   40M keys, 141K ops/sec, memory: 7122 MB
2026-01-01 17:50:21.048 [INFO]   40M keys, 142K ops/sec, memory: 7147 MB
2026-01-01 17:50:22.049 [INFO]   40M keys, 142K ops/sec, memory: 7172 MB
2026-01-01 17:50:23.049 [INFO]   40M keys, 142K ops/sec, memory: 7198 MB
2026-01-01 17:50:24.049 [INFO]   41M keys, 142K ops/sec, memory: 7223 MB
2026-01-01 17:50:25.049 [INFO]   41M keys, 144K ops/sec, memory: 7249 MB
2026-01-01 17:50:26.049 [INFO]   41M keys, 146K ops/sec, memory: 7275 MB
